Date and Time,Humidity,Temperature,CO2,CO,PM2.5 Density
2024-07-03 22:48:52,82,31.3000,302.1999,0.2595,27.2567
2024-07-03 22:49:12,82,31.3000,304.8738,0.2627,9.2795
2024-07-03 22:49:32,82,31.3000,304.9595,0.2628,19.2451
2024-07-03 22:49:52,82,31.3000,304.0855,0.2617,12.0151
2024-07-03 22:50:12,82,31.3000,304.0024,0.2616,16.7048
2024-07-03 22:50:32,82,31.3000,305.1898,0.2630,29.4062
2024-07-03 22:50:52,82,31.3000,301.3526,0.2585,19.6359
2024-07-03 22:51:12,82,31.3000,304.9747,0.2627,34.8775
2024-07-03 22:51:32,82,31.3000,304.5153,0.2622,33.1189
2024-07-03 22:51:52,82,31.3000,299.4709,0.2561,34.2913
2024-07-03 22:52:12,82,31.3000,305.5963,0.2634,30.5786
2024-07-03 22:52:32,82,31.3000,305.4162,0.2632,40.5443
2024-07-03 22:52:52,82,31.3000,306.2876,0.2642,22.7624
2024-07-03 22:53:12,82,31.3000,304.2942,0.2619,18.8543
2024-07-03 22:53:32,82,31.3000,303.3154,0.2608,23.7394
2024-07-03 22:53:52,82,31.3000,305.2857,0.2631,18.8543
2024-07-03 22:54:12,82,31.3000,306.7082,0.2647,34.2913
2024-07-03 22:54:32,82,31.3000,307.3436,0.2655,11.2335
2024-07-03 22:54:52,82,31.3000,305.0637,0.2628,18.2681
2024-07-03 22:55:12,82,31.3000,304.8119,0.2625,33.9005
2024-07-03 22:55:32,82,31.3000,302.4435,0.2596,17.6819
2024-07-03 22:55:52,82,31.3000,299.2991,0.2560,24.3256
2024-07-03 22:56:12,82,31.3000,299.7448,0.2565,29.9924
2024-07-03 22:56:32,82,31.3000,300.6407,0.2575,18.8543
2024-07-03 22:56:52,82,31.3000,300.3221,0.2572,22.9578
2024-07-03 22:57:12,82,31.3000,297.5828,0.2539,17.4865
2024-07-03 22:57:32,82,31.3000,298.0152,0.2544,11.8197
2024-07-03 22:57:52,82,31.3000,297.8323,0.2542,24.9119
2024-07-03 22:58:12,81,31.3000,297.8323,0.2542,19.2451
2024-07-03 22:58:32,81,31.3000,297.5002,0.2538,23.1532
2024-07-03 22:58:52,81,31.3000,294.9684,0.2508,18.2681
2024-07-03 22:59:12,81,31.3000,295.0489,0.2509,15.5324
2024-07-03 22:59:32,81,31.3000,294.0772,0.2498,6.9346
2024-07-03 22:59:52,81,31.3000,295.0031,0.2509,18.2681
2024-07-03 23:00:12,81,31.3000,294.2233,0.2500,14.9462
2024-07-03 23:00:32,81,31.3000,295.1661,0.2511,21.7854
2024-07-03 23:00:52,81,31.3000,295.0791,0.2510,17.4865
2024-07-03 23:01:12,81,31.3000,293.0532,0.2486,0.0000
2024-07-03 23:01:32,81,31.3000,293.3924,0.2490,12.7967
2024-07-03 23:01:52,81,31.3000,292.6595,0.2481,3.2219
2024-07-03 23:02:12,82,31.3000,294.8286,0.2507,18.6589
2024-07-03 23:02:32,82,31.3000,296.9208,0.2531,26.2797
2024-07-03 23:02:52,82,31.3000,297.1826,0.2534,7.1300
2024-07-03 23:03:12,82,31.3000,298.5854,0.2551,17.2911
2024-07-03 23:03:32,82,31.3000,303.0884,0.2603,31.7510
2024-07-03 23:03:52,82,31.3000,305.0707,0.2627,9.2795
2024-07-03 23:04:12,82,31.3000,301.9510,0.2591,21.7854
2024-07-03 23:04:32,82,31.3000,299.9024,0.2567,17.6819
2024-07-03 23:04:52,82,31.3000,299.0620,0.2557,19.4405
2024-07-03 23:05:12,82,31.3000,301.4088,0.2585,29.9924
